(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.0, 1.0, 20.0)
(18.4, 1.0, 20.0)
(18.8, 1.0, 20.0)
(18.8, 1.0, 20.0)
(18.7, 1.0, 20.0)
(15.1, 1.0, 20.1)
(11.0, 1.0, 20.1)
(7.0, 1.0, 20.0)
(5.2, 1.0, 19.9)
(2.0, 1.0, 20.7)
(-1.5, 1.0, 21.0)
(-5.1, 1.0, 21.1)
(-8.5, 1.0, 21.1)
(-11.9, 1.0, 20.2)
(-14.4, 1.0, 17.4)
(-16.1, 1.0, 13.8)
(-15.4, 1.0, 9.9)
(-12.6, -1.8, 8.4)
(-12.6, -14.4, 8.4)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.4, 1.0, 20.0)
(19.0, 1.0, 20.0)
(15.1, 1.0, 20.2)
(10.3, 1.0, 20.6)
(5.4, 1.0, 20.2)
(0.7, 1.0, 18.6)
(-4.0, 1.0, 17.4)
(-8.4, 1.0, 16.4)
(-12.6, 1.0, 15.3)
(-16.1, 1.0, 12.7)
(-17.7, 1.0, 8.7)
(-16.2, 1.0, 5.9)
(-15.1, 1.0, 3.8)
(-11.4, 1.0, 2.7)
(-7.6, 1.0, 3.0)
(-4.4, 1.0, 2.9)
(-1.1, 1.0, 2.3)
(2.4, 1.0, 1.9)
(5.6, 1.0, 1.4)
(8.5, 1.0, 0.9)
(11.3, 1.0, 0.3)
(14.2, 1.0, -0.3)
